Origin Time:2020/07/26 20:52:29
Lon:122.42°E
Lat:24.26°N
Depth:53.6km
Mag:6.2
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist= 199.23,AZ= 41.43,PGA(V)=   1.27,PGA(NS)=   2.75,PGA(EW)=   2.39,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.74,PGV(SUM)=   0.18
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist= 200.38,AZ= 29.04,PGA(V)=   2.13,PGA(NS)=   4.90,PGA(EW)=   3.23,PGV(V)=   0.15,PGV(NS)=   0.28,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   4.90,PGV(SUM)=   0.30
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist= 205.35,AZ= 54.54,PGA(V)=   1.76,PGA(NS)=   2.92,PGA(EW)=   2.63,PGV(V)=   0.13,PGV(NS)=   0.22,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   3.12,PGV(SUM)=   0.24
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist= 210.01,AZ= 40.71,PGA(V)=   0.94,PGA(NS)=   1.46,PGA(EW)=   1.58,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.92,PGV(SUM)=   0.10
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist= 210.78,AZ= 37.85,PGA(V)=   1.01,PGA(NS)=   2.60,PGA(EW)=   2.25,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   2.63,PGV(SUM)=   0.19
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 213.83,AZ= 68.00,PGA(V)=   3.44,PGA(NS)=   5.13,PGA(EW)=   7.71,PGV(V)=   0.20,PGV(NS)=   0.30,PGV(EW)=   0.69,Int= 2級,PGA(SUM)=   7.90,PGV(SUM)=   0.69
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist= 214.90,AZ= 58.59,PGA(V)=   0.85,PGA(NS)=   2.27,PGA(EW)=   2.28,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   2.38,PGV(SUM)=   0.17
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 216.21,AZ= 73.10,PGA(V)=   1.50,PGA(NS)=   6.73,PGA(EW)=   3.60,PGV(V)=   0.09,PGV(NS)=   0.42,PGV(EW)=   0.37,Int= 2級,PGA(SUM)=   6.92,PGV(SUM)=   0.51
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 219.30,AZ= 67.46,PGA(V)=   1.22,PGA(NS)=   4.59,PGA(EW)=   5.11,PGV(V)=   0.10,PGV(NS)=   0.37,PGV(EW)=   0.34,Int= 2級,PGA(SUM)=   5.73,PGV(SUM)=   0.40
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 221.18,AZ= 78.64,PGA(V)=   1.46,PGA(NS)=   4.18,PGA(EW)=   3.35,PGV(V)=   0.07,PGV(NS)=   0.38,PGV(EW)=   0.32,Int= 2級,PGA(SUM)=   4.68,PGV(SUM)=   0.47
